Number of input frames,upper body mean\pmerror at 80ms,upper body mean\pmerror at 400ms,upper body mean\pmerror at 560ms,upper body mean\pmerror at 1000ms,lower body mean\pmerror at 80ms,lower body mean\pmerror at 400ms,lower body mean\pmerror at 560ms,lower body mean\pmerror at 1000ms
1,81.10\pm0.63,115.72\pm0.88,136.74\pm1.18,167.95\pm1.77,111.51\pm1.13,186.04\pm1.32,184.88\pm1.30,197.78\pm1.57
3,6.07\pm0.05,81.18\pm1.02,106.95\pm1.32,144.18\pm1.88,10.36\pm0.09,109.00\pm1.08,143.71\pm1.37,166.71\pm1.72
5,6.14\pm0.08,57.46\pm0.69,89.02\pm1.10,135.61\pm1.86,9.70\pm0.12,86.85\pm0.89,131.56\pm1.28,163.35\pm1.66
10,5.58\pm0.08,49.04\pm0.62,84.44\pm1.09,136.91\pm1.96,8.97\pm0.11,74.15\pm0.75,123.60\pm1.25,163.69\pm1.69
15,6.57\pm0.09,50.14\pm0.63,88.37\pm1.15,145.98\pm2.12,9.70\pm0.11,69.49\pm0.72,118.19\pm1.17,165.07\pm1.66
20,6.70\pm0.10,51.01\pm0.66,90.92\pm1.24,149.75\pm2.21,9.59\pm0.11,68.34\pm0.67,117.02\pm1.12,165.98\pm1.70
25,7.07\pm0.10,53.04\pm0.72,95.13\pm1.31,153.67\pm2.25,9.48\pm0.11,68.14\pm0.67,118.07\pm1.16,164.82\pm1.75
30,7.53\pm0.11,55.12\pm0.75,97.29\pm1.34,153.89\pm2.22,9.58\pm0.11,69.34\pm0.73,118.08\pm1.21,167.20\pm1.82
35,7.80\pm0.12,55.73\pm0.75,97.49\pm1.32,152.13\pm2.16,10.07\pm0.11,68.81\pm0.76,117.22\pm1.26,167.63\pm1.83
40,7.93\pm0.13,55.21\pm0.74,95.68\pm1.29,147.58\pm2.11,9.71\pm0.11,70.93\pm0.81,119.46\pm1.33,165.02\pm1.79
45,7.92\pm0.12,53.41\pm0.71,92.34\pm1.25,141.82\pm1.99,9.89\pm0.11,70.42\pm0.85,116.43\pm1.29,160.04\pm1.70
50,7.87\pm0.12,51.33\pm0.69,89.32\pm1.22,137.70\pm1.90,10.05\pm0.12,67.71\pm0.81,112.75\pm1.22,158.54\pm1.68
