# 80ms,400ms,560ms,1000ms,n_predictions
4.467704010009765625e+01,1.105110168457031250e+02,9.736411285400390625e+01,1.335515441894531250e+02,2.413000000000000000e+03
4.079284286499023438e+01,1.103734588623046875e+02,9.307210540771484375e+01,1.313454284667968750e+02,2.433000000000000000e+03
3.876678466796875000e+01,1.056564331054687500e+02,9.301052856445312500e+01,1.225699005126953125e+02,2.453000000000000000e+03
3.928240203857421875e+01,1.029599304199218750e+02,1.012629089355468750e+02,1.188838195800781250e+02,2.473000000000000000e+03
3.899635696411132812e+01,1.040124969482421875e+02,1.104858169555664062e+02,1.304248657226562500e+02,2.493000000000000000e+03
3.700501251220703125e+01,1.056056900024414062e+02,1.083721618652343750e+02,1.424966430664062500e+02,2.513000000000000000e+03
3.119268798828125000e+01,1.005423278808593750e+02,9.953428649902343750e+01,1.309403839111328125e+02,2.533000000000000000e+03
2.356105613708496094e+01,8.146076965332031250e+01,8.676576995849609375e+01,1.076749496459960938e+02,2.553000000000000000e+03
1.747168350219726562e+01,6.457350921630859375e+01,7.893374633789062500e+01,1.022486267089843750e+02,2.573000000000000000e+03
1.297705173492431641e+01,5.071879577636718750e+01,6.336460494995117188e+01,8.078021240234375000e+01,2.593000000000000000e+03
9.882871627807617188e+00,3.842277908325195312e+01,4.718649291992187500e+01,5.430534362792968750e+01,2.613000000000000000e+03
1.495000648498535156e+01,4.807345581054687500e+01,6.023058700561523438e+01,7.557208251953125000e+01,2.613000000000000000e+03
1.191269588470458984e+01,5.775441741943359375e+01,7.229960632324218750e+01,9.107812500000000000e+01,2.613000000000000000e+03
1.540869426727294922e+01,6.963785552978515625e+01,8.624781799316406250e+01,1.002425155639648438e+02,2.613000000000000000e+03
1.723206710815429688e+01,9.925514221191406250e+01,1.230926208496093750e+02,1.184264831542968750e+02,2.613000000000000000e+03
