Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,44.68\pm 0.01,110.51\pm 0.11,97.36\pm 0.10,133.55\pm 0.13
2.80,40.79\pm 0.00,110.37\pm 0.07,93.07\pm 0.06,131.35\pm 0.09
2.60,38.77\pm 0.03,105.66\pm 0.05,93.01\pm 0.06,122.57\pm 0.09
2.40,39.28\pm 0.01,102.96\pm 0.08,101.26\pm 0.12,118.88\pm 0.12
2.20,39.00\pm 0.03,104.01\pm 0.07,110.49\pm 0.11,130.42\pm 0.15
2.00,37.01\pm 0.02,105.61\pm 0.09,108.37\pm 0.09,142.50\pm 0.18
1.80,31.19\pm 0.02,100.54\pm 0.05,99.53\pm 0.05,130.94\pm 0.11
1.60,23.56\pm 0.01,81.46\pm 0.03,86.77\pm 0.01,107.67\pm 0.12
1.40,17.47\pm 0.01,64.57\pm 0.02,78.93\pm 0.04,102.25\pm 0.08
1.20,12.98\pm 0.00,50.72\pm 0.02,63.36\pm 0.00,80.78\pm 0.02
1.00,9.88\pm 0.00,38.42\pm 0.04,47.19\pm 0.04,54.31\pm 0.06
0.80,14.95\pm 0.01,48.07\pm 0.03,60.23\pm 0.03,75.57\pm 0.02
0.60,11.91\pm 0.01,57.75\pm 0.03,72.30\pm 0.03,91.08\pm 0.01
0.40,15.41\pm 0.01,69.64\pm 0.01,86.25\pm 0.01,100.24\pm 0.00
0.20,17.23\pm 0.01,99.26\pm 0.07,123.09\pm 0.07,118.43\pm 0.03
