Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,57.07\pm 0.03,156.71\pm 0.15,125.49\pm 0.16,128.49\pm 0.13
2.80,51.07\pm 0.03,147.33\pm 0.05,136.41\pm 0.10,138.26\pm 0.06
2.60,46.29\pm 0.04,130.61\pm 0.09,142.89\pm 0.11,132.71\pm 0.08
2.40,41.66\pm 0.03,116.59\pm 0.06,143.15\pm 0.11,124.41\pm 0.14
2.20,36.35\pm 0.02,105.78\pm 0.06,136.96\pm 0.11,138.19\pm 0.12
2.00,31.06\pm 0.02,96.49\pm 0.03,129.55\pm 0.09,148.22\pm 0.15
1.80,26.57\pm 0.01,83.44\pm 0.00,115.05\pm 0.04,132.70\pm 0.12
1.60,21.93\pm 0.01,71.57\pm 0.03,94.17\pm 0.02,113.66\pm 0.03
1.40,16.30\pm 0.00,57.46\pm 0.04,70.00\pm 0.05,82.23\pm 0.07
1.20,12.19\pm 0.00,46.17\pm 0.04,54.13\pm 0.04,65.50\pm 0.06
1.00,9.88\pm 0.00,38.42\pm 0.04,47.18\pm 0.04,54.31\pm 0.06
0.80,7.84\pm 0.00,37.99\pm 0.03,50.42\pm 0.04,63.35\pm 0.03
0.60,4.91\pm 0.00,41.45\pm 0.01,60.33\pm 0.01,84.60\pm 0.04
0.40,5.88\pm 0.01,51.11\pm 0.05,73.79\pm 0.07,101.78\pm 0.09
0.20,1.98\pm 0.00,27.46\pm 0.03,49.24\pm 0.05,82.47\pm 0.06
