Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,34.24\pm 0.41,146.25\pm 2.46,160.41\pm 3.10,97.47\pm 2.38
2.80,31.17\pm 0.37,130.06\pm 2.15,141.84\pm 2.71,86.37\pm 1.90
2.60,28.27\pm 0.36,116.13\pm 1.87,123.95\pm 2.29,82.05\pm 1.59
2.40,25.76\pm 0.36,103.73\pm 1.70,108.42\pm 1.98,83.90\pm 1.46
2.20,24.50\pm 0.38,93.39\pm 1.60,96.47\pm 1.82,94.42\pm 1.59
2.00,24.14\pm 0.40,85.56\pm 1.59,91.67\pm 1.91,112.69\pm 1.98
1.80,22.07\pm 0.43,76.53\pm 1.50,89.28\pm 1.93,134.63\pm 2.50
1.60,18.14\pm 0.35,76.77\pm 1.12,86.97\pm 1.35,118.27\pm 1.88
1.40,10.15\pm 0.11,45.01\pm 0.60,47.33\pm 0.76,82.47\pm 1.19
1.20,5.66\pm 0.06,21.71\pm 0.27,26.17\pm 0.32,45.78\pm 0.65
1.00,1.51\pm 0.02,14.22\pm 0.18,17.74\pm 0.28,30.02\pm 0.48
0.80,3.92\pm 0.05,20.29\pm 0.26,32.57\pm 0.47,59.17\pm 0.80
0.60,8.12\pm 0.11,41.05\pm 0.53,59.73\pm 0.82,82.05\pm 1.13
0.40,11.85\pm 0.15,64.03\pm 0.83,88.09\pm 1.13,92.66\pm 1.43
0.20,15.64\pm 0.21,80.24\pm 1.06,105.59\pm 1.40,96.34\pm 1.41
