Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,45.17\pm 0.86,210.21\pm 3.34,158.37\pm 2.92,94.96\pm 1.71
2.80,33.71\pm 0.69,208.94\pm 3.22,159.53\pm 2.86,97.28\pm 1.69
2.60,23.28\pm 0.49,196.13\pm 2.95,168.49\pm 2.90,95.03\pm 1.70
2.40,15.01\pm 0.29,175.96\pm 2.54,170.14\pm 2.94,92.70\pm 1.78
2.20,11.66\pm 0.18,151.36\pm 2.00,164.02\pm 2.92,110.41\pm 2.33
2.00,12.80\pm 0.23,124.27\pm 1.52,153.82\pm 2.78,143.55\pm 2.90
1.80,15.64\pm 0.31,99.50\pm 1.21,136.23\pm 2.36,166.16\pm 3.07
1.60,12.91\pm 0.31,88.58\pm 1.01,126.62\pm 1.60,105.98\pm 2.15
1.40,4.34\pm 0.08,45.76\pm 0.66,65.47\pm 0.99,58.38\pm 1.02
1.20,2.40\pm 0.03,19.17\pm 0.27,29.13\pm 0.43,37.23\pm 0.71
1.00,1.51\pm 0.02,14.22\pm 0.18,17.74\pm 0.28,30.02\pm 0.48
0.80,0.89\pm 0.01,8.39\pm 0.13,10.51\pm 0.18,24.53\pm 0.37
0.60,0.65\pm 0.01,3.70\pm 0.05,8.55\pm 0.11,28.99\pm 0.47
0.40,0.66\pm 0.00,6.35\pm 0.09,14.27\pm 0.20,47.37\pm 0.68
0.20,0.60\pm 0.01,7.90\pm 0.11,15.37\pm 0.21,37.53\pm 0.50
