Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,49.48\pm 0.72,329.32\pm 2.32,374.36\pm 2.38,436.19\pm 2.91
2.80,45.87\pm 0.65,325.39\pm 2.29,371.72\pm 2.35,435.27\pm 2.90
2.60,41.01\pm 0.58,317.54\pm 2.32,366.42\pm 2.26,437.06\pm 2.82
2.40,35.70\pm 0.51,300.76\pm 2.44,356.78\pm 2.33,441.58\pm 2.88
2.20,30.61\pm 0.43,275.47\pm 2.54,338.89\pm 2.40,433.80\pm 3.00
2.00,25.23\pm 0.35,235.87\pm 2.60,305.74\pm 2.69,413.80\pm 3.25
1.80,19.25\pm 0.27,180.17\pm 2.27,247.41\pm 2.78,364.90\pm 3.38
1.60,13.09\pm 0.19,114.49\pm 1.58,168.24\pm 2.29,296.31\pm 3.41
1.40,8.14\pm 0.11,65.42\pm 0.90,104.05\pm 1.45,191.95\pm 2.70
1.20,4.16\pm 0.06,39.64\pm 0.54,68.62\pm 0.95,137.43\pm 2.08
1.00,0.29\pm 0.00,16.47\pm 0.26,36.15\pm 0.58,95.25\pm 1.56
0.80,3.96\pm 0.05,24.60\pm 0.25,35.48\pm 0.41,65.97\pm 0.92
0.60,8.37\pm 0.11,55.73\pm 0.73,79.52\pm 1.05,82.12\pm 1.10
0.40,11.97\pm 0.16,70.00\pm 0.93,97.27\pm 1.29,107.27\pm 1.59
0.20,15.24\pm 0.20,74.51\pm 0.98,96.70\pm 1.28,99.26\pm 1.46
