Resample rate,Mean\pmerror at 80ms,Mean\pmerror at 400ms,Mean\pmerror at 560ms,Mean\pmerror at 1000ms
3.00,28.39\pm 0.45,389.15\pm 3.40,388.02\pm 2.46,445.46\pm 2.93
2.80,23.65\pm 0.37,384.42\pm 3.42,394.31\pm 2.60,442.04\pm 2.93
2.60,18.49\pm 0.29,366.42\pm 3.49,401.19\pm 2.69,441.10\pm 2.82
2.40,14.11\pm 0.22,334.81\pm 3.51,398.54\pm 2.93,443.52\pm 2.87
2.20,10.79\pm 0.17,295.28\pm 3.38,383.29\pm 3.23,439.26\pm 2.99
2.00,7.60\pm 0.12,241.89\pm 3.01,348.07\pm 3.46,427.64\pm 3.15
1.80,5.23\pm 0.08,175.95\pm 2.46,281.38\pm 3.39,391.68\pm 3.49
1.60,3.08\pm 0.05,102.31\pm 1.72,180.51\pm 2.74,319.49\pm 3.94
1.40,1.81\pm 0.02,52.13\pm 0.86,101.00\pm 1.56,204.54\pm 3.12
1.20,0.91\pm 0.01,30.40\pm 0.47,63.20\pm 0.91,139.95\pm 2.16
1.00,0.29\pm 0.00,16.47\pm 0.26,36.15\pm 0.58,95.25\pm 1.56
0.80,0.35\pm 0.00,11.71\pm 0.14,25.27\pm 0.33,75.68\pm 1.22
0.60,1.23\pm 0.02,17.77\pm 0.22,33.83\pm 0.42,89.68\pm 1.16
0.40,0.39\pm 0.01,8.91\pm 0.12,19.00\pm 0.26,62.00\pm 0.82
0.20,0.10\pm 0.00,3.71\pm 0.04,7.40\pm 0.09,23.42\pm 0.29
