Averaged MPJPE (upper body) for each observation length and each selected timestep:
Obs 1: [ 76.91961 116.05082 135.69724 169.22418]
Obs 2: [ 14.299339  75.99988  100.3253   138.62717 ]
Obs 3: [  6.2361574  64.42246    88.80534   128.08759  ]
Obs 4: [  6.4151864  59.964806   87.03063   130.88068  ]
Obs 5: [  6.0691886  52.010025   82.54094   127.89442  ]
Obs 6: [  6.3313055  51.693905   84.105804  130.82263  ]
Obs 7: [  5.85907   54.976086  88.41235  134.18314 ]
Obs 8: [  5.5585523  51.526825   86.054474  136.19554  ]
Obs 9: [  5.660362  46.551746  79.958015 130.24535 ]
Obs 10: [  5.8176966  45.66416    79.384026  131.69069  ]
Obs 11: [  5.8743625  45.921257   80.2095    134.38426  ]
Obs 12: [  6.116627  46.449577  81.41228  137.11334 ]
Obs 13: [  6.3226414  47.11306    82.81391   140.29428  ]
Obs 14: [  6.510149  47.44238   83.55237  141.09872 ]
Obs 15: [  6.495849  47.17656   83.36328  141.5375  ]
Obs 16: [  6.7759066  48.079693   85.19107   144.41507  ]
Obs 17: [  6.735308  46.928207  84.27218  143.9125  ]
Obs 18: [  7.147522  46.996872  84.93936  145.25629 ]
Obs 19: [  6.9328356  47.520866   85.97501   146.39972  ]
Obs 20: [  6.9967904  48.12819    86.998924  147.19208  ]
Obs 21: [  7.0340314  49.167267   88.71695   149.02757  ]
Obs 22: [  6.9757524  49.81412    89.68341   150.2453   ]
Obs 23: [  7.099467  49.73376   89.93477  150.61824 ]
Obs 24: [  7.139765  50.098557  90.60399  150.97151 ]
Obs 25: [  7.130146  50.52958   91.01976  150.64687 ]
Obs 26: [  7.182853  50.81164   91.51531  151.00482 ]
Obs 27: [  7.192564  51.257107  91.85109  150.99214 ]
Obs 28: [  7.3646965  51.521816   91.94751   150.7613   ]
Obs 29: [  7.384305  52.39284   92.8733   151.1131  ]
Obs 30: [  7.6628804  52.235355   92.72335   150.98805  ]
Obs 31: [  7.7652287  52.481323   92.6141    150.3171   ]
Obs 32: [  7.7348647  53.47512    93.85575   151.45827  ]
Obs 33: [  7.866475  53.140594  93.32421  150.3479  ]
Obs 34: [  7.885851  53.148514  93.16     149.6636  ]
Obs 35: [  7.8562603  53.111572   92.97228   148.6319   ]
Obs 36: [  7.955544  52.666412  92.43616  147.77548 ]
Obs 37: [  8.013168  52.64731   92.237    147.27155 ]
Obs 38: [  8.070797  52.621296  91.96674  146.78522 ]
Obs 39: [  8.175826  52.60996   91.37298  145.06279 ]
Obs 40: [  8.042624  52.96242   91.559326 144.70563 ]
Obs 41: [  8.05886  52.64501  90.77338 143.13506]
Obs 42: [  8.103277  52.63783   90.766716 143.0794  ]
Obs 43: [  8.164849  51.712067  89.41388  141.06541 ]
Obs 44: [  8.0812    51.78252   89.409004 140.56273 ]
Obs 45: [  8.166897  51.43819   88.62582  138.90527 ]
Obs 46: [  8.093449  51.391647  88.51326  138.72548 ]
Obs 47: [  8.105644  50.91554   87.70115  137.21494 ]
Obs 48: [  8.034804  52.0796    88.98645  138.3071  ]
Obs 49: [  7.956406  51.113903  87.523125 136.10262 ]
Obs 50: [  8.106534  49.373035  85.45227  134.75694 ]

Averaged MPJPE (lower body) for each observation length and each selected timestep:
Obs 1: [109.11827 188.09517 184.23189 203.07814]
Obs 2: [ 19.286884 113.2374   140.05132  164.25725 ]
Obs 3: [ 10.382013 102.49536  136.22412  161.02887 ]
Obs 4: [  9.688557  93.298225 130.04994  159.12355 ]
Obs 5: [ 10.192462  79.405205 123.56756  155.61476 ]
Obs 6: [  9.765834  78.84861  123.606735 156.29471 ]
Obs 7: [  9.189066  81.61951  127.04033  159.5689  ]
Obs 8: [  8.934097  77.27848  123.97932  162.14201 ]
Obs 9: [  9.498585  71.78988  117.271454 155.30585 ]
Obs 10: [  9.305242  71.05372  117.10307  157.1916  ]
Obs 11: [  9.300645  70.38448  116.27281  158.22148 ]
Obs 12: [  9.589515  70.65032  117.26302  160.8206  ]
Obs 13: [  9.69387  70.37984 116.54494 162.65851]
Obs 14: [  9.958344  70.710625 115.6677   160.4641  ]
Obs 15: [  9.955832  69.49013  113.366875 157.46754 ]
Obs 16: [ 10.11445   70.46742  114.570465 159.36668 ]
Obs 17: [ 10.082989  68.14697  112.04855  158.62265 ]
Obs 18: [ 10.12551   68.821526 113.02508  159.04288 ]
Obs 19: [ 10.122943  67.26082  111.88665  158.98616 ]
Obs 20: [  9.960162  67.6326   112.550606 159.25056 ]
Obs 21: [ 10.105888  67.81828  112.89891  158.69658 ]
Obs 22: [  9.8206415  67.82363   113.11187   159.5168   ]
Obs 23: [  9.725769  67.68504  113.140434 158.24431 ]
Obs 24: [  9.668497  67.92195  113.759285 158.42708 ]
Obs 25: [  9.713376  67.69068  113.4104   158.43597 ]
Obs 26: [  9.78295   68.080765 113.88221  159.93018 ]
