Number of input frames,upper body mean\pmerror at 80ms,upper body mean\pmerror at 400ms,upper body mean\pmerror at 560ms,upper body mean\pmerror at 1000ms,lower body mean\pmerror at 80ms,lower body mean\pmerror at 400ms,lower body mean\pmerror at 560ms,lower body mean\pmerror at 1000ms
1,76.92\pm0.48,116.05\pm0.68,135.70\pm0.96,169.22\pm1.43,109.12\pm1.01,188.10\pm1.00,184.23\pm0.98,203.08\pm1.25
3,6.24\pm0.04,64.42\pm0.61,88.81\pm0.84,128.09\pm1.28,10.38\pm0.07,102.50\pm0.89,136.22\pm1.12,161.03\pm1.42
5,6.07\pm0.06,52.01\pm0.48,82.54\pm0.77,127.89\pm1.33,10.19\pm0.10,79.41\pm0.63,123.57\pm0.96,155.61\pm1.28
10,5.82\pm0.06,45.66\pm0.45,79.38\pm0.80,131.69\pm1.44,9.31\pm0.09,71.05\pm0.59,117.10\pm0.96,157.19\pm1.25
15,6.50\pm0.06,47.18\pm0.48,83.36\pm0.86,141.54\pm1.55,9.96\pm0.09,69.49\pm0.56,113.37\pm0.88,157.47\pm1.26
20,7.00\pm0.07,48.13\pm0.48,87.00\pm0.91,147.19\pm1.61,9.96\pm0.09,67.63\pm0.51,112.55\pm0.85,159.25\pm1.31
25,7.13\pm0.07,50.53\pm0.54,91.02\pm0.98,150.65\pm1.65,9.71\pm0.09,67.69\pm0.52,113.41\pm0.90,158.44\pm1.39
30,7.66\pm0.08,52.24\pm0.55,92.72\pm1.00,150.99\pm1.63,9.89\pm0.09,68.89\pm0.56,113.33\pm0.92,161.15\pm1.47
35,7.86\pm0.08,53.11\pm0.56,92.97\pm0.99,148.63\pm1.59,10.41\pm0.09,69.58\pm0.60,114.93\pm1.00,162.93\pm1.48
40,8.04\pm0.09,52.96\pm0.56,91.56\pm0.97,144.71\pm1.55,9.86\pm0.09,71.18\pm0.64,116.60\pm1.03,160.00\pm1.38
45,8.17\pm0.09,51.44\pm0.53,88.63\pm0.95,138.90\pm1.49,10.17\pm0.09,70.60\pm0.65,113.41\pm1.00,154.80\pm1.30
50,8.11\pm0.09,49.37\pm0.53,85.45\pm0.93,134.76\pm1.43,10.42\pm0.10,68.02\pm0.62,110.09\pm0.93,152.42\pm1.29
