Number of input frames,upper body mean\pmerror at 80ms,upper body mean\pmerror at 400ms,upper body mean\pmerror at 560ms,upper body mean\pmerror at 1000ms,lower body mean\pmerror at 80ms,lower body mean\pmerror at 400ms,lower body mean\pmerror at 560ms,lower body mean\pmerror at 1000ms
1,24.33\pm0.62,89.66\pm2.24,113.32\pm2.64,143.38\pm3.01,24.69\pm0.56,92.30\pm1.97,112.41\pm2.30,121.97\pm2.40
3,13.71\pm0.34,79.94\pm1.77,105.27\pm2.21,137.84\pm2.66,11.26\pm0.28,59.17\pm1.25,75.97\pm1.53,103.80\pm1.96
5,10.78\pm0.25,72.99\pm1.60,99.50\pm2.11,133.57\pm2.64,10.00\pm0.24,54.83\pm1.13,72.65\pm1.51,96.46\pm1.86
10,10.52\pm0.24,70.02\pm1.58,96.03\pm2.12,129.74\pm2.59,9.63\pm0.23,50.78\pm1.07,68.82\pm1.41,91.47\pm1.80
15,10.58\pm0.24,68.86\pm1.59,94.17\pm2.07,129.61\pm2.62,9.56\pm0.23,50.22\pm1.06,68.40\pm1.44,89.53\pm1.81
20,10.61\pm0.25,67.79\pm1.56,93.09\pm2.06,128.01\pm2.61,9.40\pm0.23,49.52\pm1.06,66.63\pm1.44,88.24\pm1.81
25,10.41\pm0.24,67.07\pm1.51,93.35\pm2.06,128.07\pm2.65,9.20\pm0.22,48.26\pm1.08,64.49\pm1.44,87.01\pm1.85
30,10.42\pm0.25,67.96\pm1.55,93.03\pm2.07,127.75\pm2.67,9.02\pm0.22,47.72\pm1.08,64.11\pm1.45,86.32\pm1.85
35,10.31\pm0.24,66.80\pm1.52,92.76\pm2.10,127.05\pm2.67,9.22\pm0.22,47.52\pm1.04,63.96\pm1.42,85.92\pm1.81
40,10.29\pm0.23,66.53\pm1.56,92.27\pm2.12,126.34\pm2.70,9.23\pm0.23,46.39\pm1.02,62.90\pm1.41,84.85\pm1.81
45,10.31\pm0.24,66.31\pm1.57,91.64\pm2.10,125.20\pm2.64,9.27\pm0.23,46.72\pm1.03,62.77\pm1.38,85.58\pm1.82
50,10.31\pm0.24,66.11\pm1.55,91.86\pm2.11,125.04\pm2.60,9.16\pm0.23,46.30\pm1.01,62.87\pm1.38,85.11\pm1.78
