Averaged MPJPE for each observation length and each selected timestep:
Obs 1: [7.137142 21.197689 47.472793 59.110367 77.970908 90.060298 95.864133 97.324242]
Obs 2: [6.630701 13.230398 62.373846 83.350722 191.770887 196.386566 182.774423 220.399106]
Obs 3: [11.938298 19.256470 87.458241 109.558479 222.291608 233.314688 218.933150 260.409390]
Obs 4: [7.384172 16.407230 74.136724 100.255299 153.427742 175.239411 171.324609 164.692001]
Obs 5: [9.887248 11.408140 32.458773 37.510616 71.154210 81.471693 92.119767 101.282081]
Obs 6: [19.205497 10.224067 29.718287 38.323034 69.977047 85.339620 98.078755 113.668326]
Obs 7: [16.479951 12.144572 39.502560 51.204754 87.856046 104.999788 115.136065 126.248018]
Obs 8: [12.866260 12.998661 35.604706 42.591739 57.926459 75.103727 84.059938 98.165209]
Obs 9: [16.791259 10.507396 21.754936 31.532785 51.012747 69.939580 84.960234 93.723670]
Obs 10: [15.220015 10.180731 24.332501 35.069416 52.441021 70.564224 79.773825 83.457155]
Obs 11: [16.642964 9.887759 24.441885 34.362351 59.339346 76.774136 83.731242 89.518080]
Obs 12: [6.944385 7.732541 27.932291 40.314177 73.293424 87.462332 96.361522 103.570355]
Obs 13: [4.152034 4.777350 16.726460 24.815802 44.189908 60.817432 72.033578 81.128764]
Obs 14: [14.201385 7.874369 14.339630 20.523797 35.777073 51.373426 65.097338 74.975952]
Obs 15: [11.877944 7.073605 14.189735 20.217342 36.582992 53.185754 65.606768 74.831175]
Obs 16: [3.887750 4.311636 10.822930 15.746773 32.446240 49.702238 62.826292 69.544289]
Obs 17: [1.093827 2.270955 6.855534 10.496749 22.890188 36.725955 48.910449 56.103753]
Obs 18: [1.627597 3.317771 10.067991 16.166621 32.270029 49.812681 61.690609 68.758086]
Obs 19: [2.014401 3.914296 10.709604 16.892426 33.772794 51.967516 63.872149 70.847842]
Obs 20: [1.709881 3.333064 9.409694 14.683260 30.221259 47.104335 59.773997 67.277901]
Obs 21: [1.209840 2.721453 7.898063 11.262802 23.099999 35.512237 48.384505 57.115315]
Obs 22: [1.089664 2.640318 10.592129 17.134143 33.801270 49.945996 64.297645 73.634652]
Obs 23: [1.190189 2.628514 10.366557 17.076599 33.874688 50.245595 64.205467 73.578968]
Obs 24: [1.096378 2.390625 8.727793 14.056227 28.518675 43.095354 56.753272 66.032057]
Obs 25: [0.982623 2.015593 5.955369 8.884677 18.592659 29.533237 41.655700 50.705517]

