Averaged MPJPE for each observation length and each selected timestep:
Obs 1: [7.111887 21.195324 47.538871 59.155148 78.031485 90.262033 96.038061 97.374990]
Obs 2: [5.974115 34.836921 109.909891 122.642664 128.174658 198.177062 239.101333 235.226531]
Obs 3: [0.195914 1.684731 27.667565 65.576466 190.334258 300.039686 298.025538 259.143136]
Obs 4: [0.143801 1.601524 34.241655 75.891165 184.442194 241.943449 199.529561 164.132263]
Obs 5: [0.192401 1.679769 19.039768 38.307798 84.018736 111.498882 110.691523 105.096913]
Obs 6: [0.339323 2.518072 17.469326 32.572447 76.194407 115.314220 117.139639 115.490985]
Obs 7: [0.276045 2.184766 20.225716 40.903360 102.144441 149.254928 140.284650 125.334864]
Obs 8: [0.253064 2.102308 20.315379 40.520024 94.648967 120.127133 107.197621 100.889302]
Obs 9: [0.331478 2.379593 13.952501 24.469027 57.481689 97.057080 104.318695 93.718799]
Obs 10: [0.278061 2.048763 12.214563 21.780965 51.530621 93.930140 101.852553 84.657442]
Obs 11: [0.279380 2.078409 12.911585 24.075531 62.757526 108.715221 110.433380 96.502602]
Obs 12: [0.169023 1.388490 12.208036 26.785290 81.329128 130.442030 125.507287 116.460614]
Obs 13: [0.138476 1.205082 8.831326 17.939299 51.926285 86.466621 90.430955 90.692909]
Obs 14: [0.308207 2.249742 13.288966 22.753964 46.000657 66.874681 74.822376 83.634929]
Obs 15: [0.269286 2.022816 12.658598 22.089492 45.240511 66.428475 75.417415 84.632340]
Obs 16: [0.136087 1.241900 9.394201 17.089314 36.608010 57.169807 71.332887 80.414878]
Obs 17: [0.104402 1.020021 7.200262 12.538100 25.407980 40.157830 53.749562 64.098469]
Obs 18: [0.105972 1.059558 8.710232 16.135966 37.812079 64.356986 74.237544 73.447274]
Obs 19: [0.107139 1.082030 9.237759 17.274168 40.036851 66.986853 77.365537 75.086534]
Obs 20: [0.106260 1.067181 8.729862 15.912227 34.776068 59.020129 71.894690 71.923796]
Obs 21: [0.105286 1.046857 8.165109 14.488294 28.100978 41.899807 55.866727 62.553595]
Obs 22: [0.106153 1.035731 7.907361 14.957322 37.422467 62.096137 72.082827 74.056623]
Obs 23: [0.106303 1.036322 7.825456 14.769048 37.218976 62.294444 72.165886 74.440902]
Obs 24: [0.105343 1.027852 7.382708 13.465469 31.824763 52.456238 62.966055 67.696184]
Obs 25: [0.104286 1.020539 6.943364 11.854801 22.922724 33.790470 45.553661 56.256287]

