Averaged MPJPE for each observation length and each selected timestep:
Obs 1: [7.111887 21.195332 47.539989 59.159142 78.072891 90.415500 96.409605 98.008709]
Obs 2: [5.937345 35.087851 149.639089 217.329638 330.324840 399.298856 437.789289 458.929103]
Obs 3: [0.136839 1.381551 11.456208 21.865478 54.369746 97.937281 142.828572 172.419140]
Obs 4: [0.133410 1.358358 11.487120 22.154570 56.203374 102.909182 151.716379 183.279630]
Obs 5: [0.116736 1.184830 9.903697 18.961686 47.488983 86.149299 126.541426 153.143826]
Obs 6: [0.118570 1.200459 10.031026 19.222115 48.254582 88.034648 130.607795 159.757878]
Obs 7: [0.118796 1.203754 10.059803 19.291324 48.605775 89.214483 133.121417 163.131703]
Obs 8: [0.112999 1.140557 9.428860 17.994882 45.101600 82.739692 123.655861 151.628959]
Obs 9: [0.111046 1.121679 9.322829 17.822380 44.682156 81.841839 122.227177 150.175067]
Obs 10: [0.110931 1.122765 9.368908 17.941783 45.155691 83.035231 124.348909 152.968350]
Obs 11: [0.110605 1.120106 9.315883 17.817321 44.712072 81.807294 121.742828 149.190006]
Obs 12: [0.106559 1.071829 8.897384 17.034347 42.934267 78.899162 117.441603 143.278728]
Obs 13: [0.104241 1.048596 8.699383 16.635166 41.798071 76.741496 114.714152 140.822079]
Obs 14: [0.110880 1.119452 9.340675 17.911717 45.206588 83.210706 124.763310 153.578286]
Obs 15: [0.109641 1.105017 9.213584 17.663572 44.549476 81.965450 122.805282 151.112629]
Obs 16: [0.104766 1.052663 8.702119 16.599623 41.459791 75.637485 112.545164 138.014208]
Obs 17: [0.101177 1.015364 8.364967 15.910550 39.511194 71.824188 106.812337 131.151606]
Obs 18: [0.102768 1.030854 8.470000 16.111859 40.111396 73.168065 109.046306 133.806860]
Obs 19: [0.103576 1.037687 8.504602 16.160472 40.176091 73.251646 109.137508 133.869081]
Obs 20: [0.102934 1.032315 8.472192 16.103744 40.033367 72.958021 108.696688 133.411726]
Obs 21: [0.102084 1.027766 8.481246 16.144383 40.176060 73.181296 108.916654 133.679781]
Obs 22: [0.103156 1.037624 8.566410 16.307366 40.576785 73.945026 110.112051 135.048579]
Obs 23: [0.103239 1.037990 8.563882 16.299903 40.552364 73.915310 110.117733 135.093905]
Obs 24: [0.102402 1.030793 8.515458 16.210640 40.324482 73.449523 109.351855 134.135408]
Obs 25: [0.101273 1.021710 8.457624 16.106421 40.046391 72.796792 108.117408 132.511990]

