# 80ms,400ms,560ms,1000ms,n_predictions
5.707308197021484375e+01,1.567110137939453125e+02,1.254870910644531250e+02,1.284924316406250000e+02,2.313000000000000000e+03
5.106830215454101562e+01,1.473345184326171875e+02,1.364093627929687500e+02,1.382605895996093750e+02,2.343000000000000000e+03
4.628965377807617188e+01,1.306103820800781250e+02,1.428908691406250000e+02,1.327135009765625000e+02,2.375000000000000000e+03
4.166029357910156250e+01,1.165864715576171875e+02,1.431477508544921875e+02,1.244063720703125000e+02,2.405000000000000000e+03
3.634912109375000000e+01,1.057757110595703125e+02,1.369551391601562500e+02,1.381934814453125000e+02,2.435000000000000000e+03
3.105852890014648438e+01,9.649051666259765625e+01,1.295502166748046875e+02,1.482225494384765625e+02,2.465000000000000000e+03
2.657472610473632812e+01,8.343866729736328125e+01,1.150461120605468750e+02,1.326989593505859375e+02,2.495000000000000000e+03
2.192806243896484375e+01,7.157208251953125000e+01,9.417031097412109375e+01,1.136566162109375000e+02,2.525000000000000000e+03
1.630424880981445312e+01,5.746148681640625000e+01,6.999504089355468750e+01,8.223334503173828125e+01,2.555000000000000000e+03
1.219439029693603516e+01,4.616922760009765625e+01,5.412844848632812500e+01,6.549752807617187500e+01,2.585000000000000000e+03
9.879386901855468750e+00,3.841693115234375000e+01,4.717971420288085938e+01,5.431286239624023438e+01,2.615000000000000000e+03
7.836085319519042969e+00,3.798563385009765625e+01,5.041912841796875000e+01,6.335034561157226562e+01,2.613000000000000000e+03
4.909937858581542969e+00,4.144934844970703125e+01,6.033146667480468750e+01,8.460394287109375000e+01,2.613000000000000000e+03
5.879912376403808594e+00,5.110833358764648438e+01,7.379013061523437500e+01,1.017767028808593750e+02,2.613000000000000000e+03
1.980583786964416504e+00,2.745957565307617188e+01,4.923583221435546875e+01,8.247451782226562500e+01,2.613000000000000000e+03
