# 80ms,400ms,560ms,1000ms,n_predictions
3.423774626913234442e+01,1.462510224270118613e+02,1.604126326068235073e+02,9.746884743563738596e+01,2.420000000000000000e+03
3.116661477547057046e+01,1.300616363246037395e+02,1.418373067571190518e+02,8.636817168818201651e+01,2.479000000000000000e+03
2.826543555724986234e+01,1.161317545154029176e+02,1.239459813240035402e+02,8.204884632764407115e+01,2.527000000000000000e+03
2.576169689399390350e+01,1.037269784641802914e+02,1.084150694320028805e+02,8.390296635859733954e+01,2.586000000000000000e+03
2.450330961272795705e+01,9.339203840512683996e+01,9.646717695223738076e+01,9.442283039381861443e+01,2.634000000000000000e+03
2.413511957726491630e+01,8.556010757306313508e+01,9.167256329043996743e+01,1.126914223007798341e+02,2.693000000000000000e+03
2.206912062482365400e+01,7.652622339535207630e+01,8.928260834001152091e+01,1.346257214070206487e+02,2.741000000000000000e+03
1.814431163467816077e+01,7.676540352645262999e+01,8.696904336734276342e+01,1.182705462432932109e+02,2.800000000000000000e+03
1.015133078824751678e+01,4.501074091027741986e+01,4.733396714628939606e+01,8.247265571092643199e+01,2.848000000000000000e+03
5.657393407602368640e+00,2.171099039765685390e+01,2.616947366059752866e+01,4.577650303060479331e+01,2.907000000000000000e+03
1.511973442598953277e+00,1.422330809022574094e+01,1.773816542688114239e+01,3.001828272291183453e+01,2.955000000000000000e+03
3.919988104581809907e+00,2.028530725636858278e+01,3.257362023976910592e+01,5.916679171611304611e+01,2.955000000000000000e+03
8.123149293116940228e+00,4.105364051137305381e+01,5.972956995264659952e+01,8.204800825366709205e+01,2.955000000000000000e+03
1.184609987336295944e+01,6.402792081728502183e+01,8.808920048728786867e+01,9.266328945513278370e+01,2.955000000000000000e+03
1.563850983981454412e+01,8.023985291924958574e+01,1.055915768760179247e+02,9.633861760358293225e+01,2.955000000000000000e+03
