# 80ms,400ms,560ms,1000ms,n_predictions
4.943211511035318750e+01,2.298056629932801229e+02,1.946882985353331321e+02,1.963688348431509496e+02,2.420000000000000000e+03
4.583260678719449999e+01,2.302011598668730983e+02,1.734077401243949623e+02,1.770840841260960019e+02,2.479000000000000000e+03
4.098185851371529509e+01,2.260903315084238727e+02,1.569097322715150824e+02,1.619365167651851891e+02,2.527000000000000000e+03
3.568725805368227100e+01,2.147897535966376381e+02,1.431537369206369021e+02,1.516659020825108541e+02,2.586000000000000000e+03
3.065461756601602872e+01,1.970717674229101704e+02,1.385367569531651384e+02,1.490207241703851651e+02,2.634000000000000000e+03
2.562651330681188711e+01,1.748689902615047060e+02,1.436034935136452475e+02,1.516957675859697190e+02,2.693000000000000000e+03
2.062144707715929215e+01,1.469960966366977004e+02,1.561222705153890331e+02,1.468777055916672225e+02,2.741000000000000000e+03
1.420075757885829937e+01,1.138879104929843180e+02,1.308426646652099237e+02,1.078505592216138922e+02,2.800000000000000000e+03
8.193372745961497117e+00,6.577053137643203229e+01,7.948435454536490852e+01,6.446371092259938962e+01,2.848000000000000000e+03
4.175933385881867466e+00,3.271041364942609420e+01,4.335982416241292015e+01,4.184419597926128631e+01,2.907000000000000000e+03
2.936884159494422830e-01,1.497831402183786054e+01,2.684903877138045303e+01,4.475294220152542835e+01,2.955000000000000000e+03
3.960400772613986042e+00,2.105002215493772866e+01,2.753958669885072652e+01,6.662253842889228395e+01,2.955000000000000000e+03
8.369089751970220092e+00,4.845326243712237613e+01,5.608422770480075314e+01,9.680918136669886565e+01,2.955000000000000000e+03
1.197181018970571031e+01,6.835801956695291892e+01,8.955516219395173039e+01,8.750115818999606176e+01,2.955000000000000000e+03
1.523688947518951764e+01,7.486976593108012423e+01,1.001074654858184374e+02,1.091428763945405791e+02,2.955000000000000000e+03
