# 80ms,400ms,560ms,1000ms,n_predictions
2.839865768506299304e+01,2.990058364523651449e+02,1.840158704092941662e+02,1.910252852434646513e+02,2.420000000000000000e+03
2.364883682706621215e+01,3.020198920188669263e+02,1.791219446539860769e+02,1.924509214404136515e+02,2.479000000000000000e+03
1.847765410909477879e+01,2.873689869446749867e+02,1.870097081789833169e+02,1.836326048515227001e+02,2.527000000000000000e+03
1.410126792302663823e+01,2.579639735815316044e+02,1.901444906791296034e+02,1.620174667586220210e+02,2.586000000000000000e+03
1.082191473418396299e+01,2.200250298480645483e+02,1.837079352218354984e+02,1.585222109835792992e+02,2.634000000000000000e+03
7.943491639298659202e+00,1.781952839479268107e+02,1.708618597322200117e+02,1.789123932120306790e+02,2.693000000000000000e+03
6.447916544581367759e+00,1.365474901187231183e+02,1.561239375562951750e+02,1.858044007620803200e+02,2.741000000000000000e+03
4.025259499760847959e+00,1.033549074787879363e+02,1.368859221621616200e+02,1.252760062652773030e+02,2.800000000000000000e+03
1.754302051413207941e+00,5.366286209763519821e+01,7.787260134361704900e+01,7.931752877695461734e+01,2.848000000000000000e+03
8.791192251700392646e-01,2.493759974168365545e+01,4.049564072134061377e+01,6.099596386102592049e+01,2.907000000000000000e+03
2.936888816532034485e-01,1.497836332601162646e+01,2.684927899020136266e+01,4.475270982377874418e+01,2.955000000000000000e+03
3.527761344455065395e-01,8.668493445274812359e+00,1.773535511659319752e+01,4.430042323553950467e+01,2.955000000000000000e+03
1.227832764330301973e+00,1.076382098113960417e+01,1.557593126765526392e+01,5.135103311108397151e+01,2.955000000000000000e+03
3.876984176185603870e-01,8.332144344462296459e+00,1.659711124635476409e+01,5.086356611253044235e+01,2.955000000000000000e+03
9.907195652548982101e-02,3.767796037109000018e+00,9.666462986085520015e+00,5.722248770919819094e+01,2.955000000000000000e+03
