# 80ms,400ms,560ms,1000ms,n_predictions
4.947914193506537117e+01,3.293177645776636382e+02,3.743575030783853208e+02,4.361917130402789553e+02,2.420000000000000000e+03
4.586829477573619585e+01,3.253874322324360264e+02,3.717245740944481440e+02,4.352726780566393927e+02,2.479000000000000000e+03
4.101017009464859342e+01,3.175433230135614622e+02,3.664201218988650339e+02,4.370610082708520281e+02,2.527000000000000000e+03
3.570094761624680046e+01,3.007585545821721666e+02,3.567837881513533489e+02,4.415805179579651849e+02,2.586000000000000000e+03
3.060933952108849354e+01,2.754725699161654120e+02,3.388946854697516642e+02,4.338031181699300305e+02,2.634000000000000000e+03
2.522983506777841711e+01,2.358665945066496761e+02,3.057379171150576553e+02,4.138017958088896080e+02,2.693000000000000000e+03
1.924550632951672213e+01,1.801682182532299805e+02,2.474061898032284148e+02,3.648964770210295683e+02,2.741000000000000000e+03
1.308582992299177228e+01,1.144867218684937313e+02,1.682352597878447682e+02,2.963079323972175985e+02,2.800000000000000000e+03
8.142131969885014087e+00,6.542493650127919125e+01,1.040544392981859545e+02,1.919495206776865075e+02,2.848000000000000000e+03
4.158077778966142724e+00,3.963747857401860841e+01,6.861838497457584651e+01,1.374254992403446352e+02,2.907000000000000000e+03
2.852702676116681269e-01,1.646831965467115566e+01,3.615442435454117032e+01,9.525015297315876239e+01,2.955000000000000000e+03
3.961055464439831475e+00,2.460489532490325360e+01,3.547797008482944392e+01,6.596636591312143594e+01,2.955000000000000000e+03
8.369457520765736902e+00,5.572772168033549889e+01,7.952088555841125128e+01,8.211890339667006344e+01,2.955000000000000000e+03
1.197192228654601998e+01,7.000302392162079457e+01,9.726709030381861965e+01,1.072680336513829218e+02,2.955000000000000000e+03
1.523660230760576084e+01,7.451016691205282427e+01,9.670100791349079827e+01,9.926256727432759419e+01,2.955000000000000000e+03
