# 80ms,400ms,560ms,1000ms,n_predictions
2.839084655190298534e+01,3.891462646224651394e+02,3.880158128409284473e+02,4.454574700875962208e+02,2.420000000000000000e+03
2.365240424588460044e+01,3.844150089973996387e+02,3.943149934501393545e+02,4.420429315191091177e+02,2.479000000000000000e+03
1.848664094738322916e+01,3.664168247320627643e+02,4.011854017289745116e+02,4.410983678211465531e+02,2.527000000000000000e+03
1.411134016890558129e+01,3.348083258999046166e+02,3.985357869219118356e+02,4.435237929144296345e+02,2.586000000000000000e+03
1.078943617198363114e+01,2.952833765705420888e+02,3.832902478148924388e+02,4.392636079742836728e+02,2.634000000000000000e+03
7.598751130376335539e+00,2.418896328215893732e+02,3.480662167548850903e+02,4.276360278548669385e+02,2.693000000000000000e+03
5.234831458973381757e+00,1.759527831845289825e+02,2.813772932527432431e+02,3.916820047273063210e+02,2.741000000000000000e+03
3.081978336355990056e+00,1.023090186259443186e+02,1.805055705506154879e+02,3.194889442536181718e+02,2.800000000000000000e+03
1.807531354524491762e+00,5.213286921706016841e+01,1.009979524964916635e+02,2.045361534698887169e+02,2.848000000000000000e+03
9.068845038003274794e-01,3.039810180905623227e+01,6.320075793489736782e+01,1.399524227966239494e+02,2.907000000000000000e+03
2.852690498742844749e-01,1.646835968661076421e+01,3.615448153026200373e+01,9.525047550040932265e+01,2.955000000000000000e+03
3.547353665248881849e-01,1.171361274368014627e+01,2.527148043937735267e+01,7.568264911660385508e+01,2.955000000000000000e+03
1.229049103044024926e+00,1.777264983069219539e+01,3.382645910688520274e+01,8.968231361824231840e+01,2.955000000000000000e+03
3.878507647624598875e-01,8.906846311728921606e+00,1.900161078612220678e+01,6.200055939361276813e+01,2.955000000000000000e+03
9.880639854754194595e-02,3.705578476328255988e+00,7.402587180388713328e+00,2.341859044480356644e+01,2.955000000000000000e+03
